Season	ThreePA
2015-16	24.1
2014-15	22.4
2013-14	21.5
2012-13	20
2011-12	18.4
2010-11	18
2009-10	18.1
2008-09	18.1
2007-08	18.1
2006-07	16.9
2005-06	16
2004-05	15.8
2003-04	14.9
2002-03	14.7
2001-02	14.7
2000-01	13.7
1999-00	13.7
1998-99	13.2
1997-98	12.7
1996-97	16.8
1995-96	16
1994-95	15.3
1993-94	9.9
1992-93	9
1991-92	7.6
1990-91	7.1
1989-90	6.6
1988-89	6.6
1987-88	5
1986-87	4.7
1985-86	3.3
1984-85	3.1
1983-84	2.4
1982-83	2.3
1981-82	2.3
1980-81	2
1979-80	2.8